WinRatio,Position,Result
0.785714285714286,1,1
0.714285714285714,2,0
0.571428571428571,3,2
0.5,4,0
0.5,5,0
0.428571428571429,6,0
0.285714285714286,7,0
0.142857142857143,8,0
0.714285714285714,1,0
0.571428571428571,2,0
0.571428571428571,3,2
0.5,4,1
0.5,5,0
0.428571428571429,6,0
0.357142857142857,7,0
0.214285714285714,8,0
0.714285714285714,1,2
0.571428571428571,2,0
0.5,3,1
0.5,4,0
0.5,5,0
0.5,6,0
0.428571428571429,7,0
0.285714285714286,8,0
0.6923,1,2
0.6428,2,1
0.6428,3,0
0.5714,4,0
0.5,5,0
0.4615,6,0
0.4285,7,0
0.4285,8,0
0.3076,9,0
0.3076,10,0
0.6875,1,0
0.6667,2,1
0.625,3,0
0.5333,4,2
0.5333,5,0
0.5,6,0
0.4375,7,0
0.2667,8,0
0.25,9,0
0.6875,1,2
0.6875,2,1
0.625,3,0
0.625,4,0
0.5625,5,0
0.5,6,0
0.375,7,0
0.25,8,0
0.1875,9,0
0.785714285714286,1,2
0.818181818181818,2,1
0.642857142857143,3,0
0.5,4,0
0.5,5,0
0.428571428571429,6,0
0.357142857142857,7,0
0.142857142857143,8,0
0.6428,1,2
0.5714,2,1
0.5,3,0
0.5,4,0
0.5,5,0
0.5,6,0
0.3571,7,0
0.2142,8,0
0.6428,1,0
0.5714,2,2
0.5714,3,1
0.5714,4,0
0.5,5,0
0.5,6,0
0.3571,7,0
0.2857,8,0
0.642857142857143,1,1
0.571428571428571,2,2
0.5,3,0
0.5,4,0
0.5,5,0
0.428571428571429,6,0
0.428571428571429,7,0
0.428571428571429,8,0
0.642857142857143,1,2
0.642857142857143,2,1
0.571428571428571,3,0
0.5,4,0
0.428571428571429,5,0
0.428571428571429,6,0
0.428571428571429,7,0
0.357142857142857,8,0
0.642857142857143,1,1
0.642857142857143,2,2
0.642857142857143,3,0
0.428571428571429,4,0
0.428571428571429,5,0
0.428571428571429,6,0
0.357142857142857,7,0
0.357142857142857,8,0
0.75,1,0
0.625,2,1
0.625,3,0
0.625,4,2
0.375,5,0
0.375,6,0
0.25,7,0
0.25,8,0
0.875,1,0
0.625,2,2
0.625,3,0
0.5,4,1
0.375,5,0
0.375,6,0
0.375,7,0
0.25,8,0
0.625,1,1
0.625,2,0
0.625,3,2
0.5,4,0
0.5,5,0
0.375,6,0
0.375,7,0
0.375,8,0
0.8,1,0
0.7,2,1
0.6,3,0
0.5,4,2
0.4,5,0
0.4,6,0
0.4,7,0
0.2,8,0
0.714285714285714,1,0
0.571428571428571,2,1
0.571428571428571,3,0
0.5,4,2
0.428571428571429,5,0
0.428571428571429,6,0
0.428571428571429,7,0
0.285714285714286,8,0
1,1,1
0.5,2,2
0.5,3,0
0.35714,4,0
0.21428,5,0
0.14285,6,0
0.0714285,7,0
0,8,0
0.92,1,1
0.85714,2,2
0.71428,3,0
0.6428,4,0
0.42857,5,0
0.21428,6,0
0.14285,7,0
0.14285,8,0
0.92,1,2
0.71482,2,1
0.71482,3,0
0.64285,4,0
0.5,5,0
0.2857,6,0
0.142857,7,0
0,8,0
0.92,1,1
0.85714,2,0
0.5714,3,2
0.5714,4,0
0.5,5,0
0.14285,6,0
0.0714285,7,0
0,8,0

