Player_id,Player_Type,Shares,Balance,Profit
1,Medium,103,39.17037964870765,0
2,Medium,27,14.745221945426906,0
3,Novice,12,79.92074678916951,0
4,Novice,43,60.03866962399114,0
5,Medium,-17,99.51540427520632,0
6,Novice,3,74.84941060369958,0
7,Novice,71,98.89764195640315,0
8,Medium,-82,63.281756974341306,0
9,Novice,-17,67.31811168480509,0
10,Novice,97,16.69924287001851,0
11,Expert,-68,109.88494096544395,0
12,Medium,-102,12.394311446328317,0
13,Expert,-146,79.5605531565322,0
14,Expert,-85,103.55319271721179,0
15,Expert,29,119.97051492952419,0
16,Medium,124,39.10324125190509,0
17,Medium,-81,54.3822542269197,0
18,Expert,-57,75.96869546479078,0
19,Expert,60,28.817445473568554,0
20,Medium,-204,12.498189619093779,0
21,Expert,13,95.35065618926544,0
22,Expert,-66,73.33394805614289,0
23,Expert,73,45.02573916185226,0
24,Medium,-124,67.50566468798903,0
25,Medium,122,25.11515621410959,0
26,Novice,81,17.33590117110319,0
27,Novice,64,60.23385352919118,0
28,Novice,101,31.370825297652672,0
29,Expert,120,30.7492143137612,0
30,Novice,51,81.83208923072205,0
31,Novice,-24,84.64983361015263,0
32,Expert,22,88.54649931586484,0
33,Expert,36,77.22473039081177,0
34,Novice,-27,87.36722519264693,0
35,Novice,0,98.10326278044951,0
36,Novice,-10,93.2050939494433,0
37,Novice,0,98.10326278044951,0
38,Medium,26,83.7902963571596,0
39,Expert,6,94.32651479543921,0
40,Medium,-28,86.21336034098441,0
41,Novice,0,98.10326278044951,0
42,Expert,5,95.51412813961281,0
43,Expert,38,74.41840992371597,0
44,Medium,6,93.76706020163357,0
45,Novice,-25,90.14023733184217,0
46,Novice,36,72.75127145078307,0
47,Novice,-68,72.90625531388102,0
48,Expert,24,85.4952130852086,0
49,Medium,57,57.533238699853484,0
50,Medium,-7,96.75890635589505,0
51,Expert,-8,96.36793989541096,0
52,Novice,109,0.41455880965705205,0
53,Expert,-19,97.37714926579801,0
54,Medium,-24,96.70681712821548,0
55,Medium,-26,95.67705267064386,0
56,Medium,-17,95.77612974487553,0
57,Expert,-7,96.9271871533243,0
58,Expert,-8,96.57926757567091,0
59,Medium,8,91.62725798522811,0
60,Medium,-4,97.36640608429192,0
